Identyfikator Produktu Leczniczego;Nazwa Produktu Leczniczego;Rodzaj preparatu;Moc;Postać farmaceutyczna;;
100366442;Bonogren SR;Ludzki;0,5 mg/ml;Zawiesina do nebulizacji;;
100372833;Ircolon Forte;Ludzki;0,5 mg/ml;Roztwór doustny;;
100372891;Kostarox;Ludzki;0,5 mg/ml;Aerozol do nosa, roztwór;;
100373146;Zinnat;Ludzki;0,5 mg/ml;Krople do oczu, roztwór;;
100374269;Tiopental Panpharma;Ludzki;0,5 mg/ml;Aerozol do nosa, roztwór;;
100381795;DropiCe;Ludzki;0,5 mg/ml;Zawiesina do nebulizacji;;
100390133;Epigapent;Ludzki;0,5 mg/ml;Krople do oczu, roztwór;;
100390720;Sumilar HCT;Ludzki;0,5 mg/ml;Roztwór doustny;;
100395455;Aprepitant Accord;Ludzki;0,5 mg/ml;Aerozol do nosa, roztwór;;
100398407;Ivabradine Ranbaxy;Ludzki;0,5 mg/ml;Roztwór doustny;;
100398413;Ivabradine Ranbaxy;Ludzki;0,5 mg/ml;Zawiesina do nebulizacji;;
100402379;Hydrochlorothiazide Aurovitas;Ludzki;0,5 mg/ml;Zawiesina do nebulizacji;;
100411036;Ceftriaxon AptaPharma;Ludzki;0,5 mg/mL;Krople do oczu, roztwór;;
100411970;Zoftaro;Ludzki;0,5 mg/ml;Roztwór doustny;;
100411993;Micafungin Teva;Ludzki;0,5 mg/ml;Roztwór do wstrzykiwań;;
100412142;Utrogestan;Ludzki;0,5 mg/ml;Krople do nosa, roztwór;;
100412159;Deca-Durabolin;Ludzki;0,5 mg/ml;Roztwór doustny;;
100412320;Tranxene;Ludzki;0,5 mg/ml;Zawiesina doustna;;
100413360;Gynoxin Optima;Ludzki;0,5 mg/ml;Roztwór do wstrzykiwań;;
100417056;Bedicort salic;Ludzki;0,5 mg/ml;Roztwór do infuzji;;
100417228;Votubia;Ludzki;0,5 mg/ml;Aerozol do nosa, roztwór;;
100423571;Trecondi;Ludzki;0,5 mg/ml;Roztwór doustny;;
100424079;Xanax;Ludzki;0,5 mg/ml;Aerozol do nosa, roztwór;;
100428137;Axipio;Ludzki;0,5 mg/ml;Roztwór do wstrzykiwań;;
100428396;Conaret;Ludzki;0,5 mg/ml;Krople do nosa, roztwór;;
100429763;Evertas;Ludzki;0,5 mg/ml;Roztwór doustny;;
100431406;Lenalidomide G.L.;Ludzki;0,5 mg/ml;Aerozol do nosa, roztwór;;
100433204;Lexotan;Ludzki;0,5 mg/ml;Aerozol do nosa, roztwór;;
100436349;Cinacalcet Sandoz;Ludzki;0,5 mg/ml;Zawiesina doustna;;
100440055;Paracetamol + Methocarbamol APAP;Ludzki;0,5 mg/ml;Aerozol do nosa, roztwór;;
100440486;Rosucard;Ludzki;0,5 mg/ml;Roztwór doustny;;
100441327;Rixacam;Ludzki;0,5 mg/ml;Krople do oczu, roztwór;;
100441770;Otinum;Ludzki;0,5 mg/ml;Aerozol do nosa, roztwór;;
100441965;GoResp Digihaler;Ludzki;0,5 mg/ml;Aerozol do nosa, roztwór;;
100448714;Calcium-Sandoz Forte;Ludzki;0,5 mg/ml;Krople do oczu, roztwór;;
100452458;Lenalidomide Gedeon Richter;Ludzki;0,5 mg/ml;Aerozol do nosa, roztwór;;
100452661;Sildenafil Aristo;Ludzki;0,5 mg/ml;Aerozol do nosa, roztwór;;
100455726;Diaprel MR;Ludzki;0,5 mg/ml;Roztwór do infuzji w ampułko-strzykawce;;
100456448;Rivaroxaban STADA;Ludzki;0,5 mg/ml;Aerozol do nosa, roztwór;;
100463315;Sibnayal;Ludzki;0,5 mg/ml;Roztwór doustny;;
100464128;Bibloc;Ludzki;0,5 mg/ml;Krople do oczu, roztwór;;
100469264;Candesartan cilexetil + Amlodipine + HCT Sandoz;Ludzki;0,5 mg/ml;Roztwór doustny;;
100471665;Cloxacillin Polpharma;Ludzki;0,5 mg/ml;Roztwór doustny;;
100474400;Axaltra;Ludzki;0,5 mg/mL;Zawiesina do nebulizacji;;
100477379;Fasflow;Ludzki;0,5 mg/ml;Aerozol do nosa, roztwór;;
100477939;Skyrizi;Ludzki;0,5 mg/ml;Roztwór na skórę;;
100479397;Candesartan cilexetil + Amlodipine + HCT +pharma;Ludzki;0,5 mg/ml;Zawiesina do nebulizacji;;
100488120;Litfulo;Ludzki;0,5 mg/ml;Zawiesina do nebulizacji;;
100494848;Vigamox;Ludzki;0,5 mg/ml;Krople do oczu, roztwór;;
100498793;Concor Cor 10;Ludzki;0,5 mg/ml;Aerozol do nosa, roztwór;;
100504749;Steqeyma;Ludzki;0,5 mg/ml;Zawiesina do nebulizacji;;
100505296;Brivaracetam Orion;Ludzki;0,5 mg/ml;Roztwór do infuzji;;
100508206;Selexipagum Teva;Ludzki;0,5 mg/ml;Zawiesina do nebulizacji;;
100525844;Imreplys;Ludzki;0,5 mg/ml;Aerozol do nosa, roztwór;;
100305268;Tobrex;Ludzki;0,5 mg/ml ;Roztwór na skórę;;
100097404;Seretide Dysk 100;Ludzki;0,5 mg/ml (0,05%);Aerozol do nosa, roztwór;;
100460145;Dabigatran etexilate Medical Valley;Ludzki;0,5 mg/ml (co odpowiada 0,678 mg/ml acepromazyny maleinianu);Roztwór do wstrzykiwań;;
100164721;Atoris;Ludzki;"0,5 mg; 1 mg";Tabletki powlekane;;
100472635;Tobrex;Ludzki;"0,5 mg; 1 mg";Proszek doustny w kapsułkach otwieranych;;
100438816;Nurofen dla dzieci;Ludzki;0,5 ml;Zawiesina do wstrzykiwań w ampułko-strzykawce;;
100448364;Flucon;Ludzki;0,5 ml;Zawiesina do wstrzykiwań w ampułko-strzykawce;;
100194751;Flixotide;Ludzki;0,5 ml (1 dawka);Zawiesina do wstrzykiwań w ampułko-strzykawce;;
100235616;Panprazox;Ludzki;0,5 ml (1 dawka);Zawiesina do wstrzykiwań w ampułko-strzykawce;;
100049902;Orungal;Ludzki;0,5 mmol/ml;Roztwór do wstrzykiwań;;
100342654;APAP caps;Ludzki;0,5 mmol/ml;Roztwór do wstrzykiwań;;
100342677;Arcoxia;Ludzki;0,5 mmol/ml;Roztwór do wstrzykiwań;;
100342690;Belosalic;Ludzki;0,5 mmol/ml;Roztwór do wstrzykiwań w ampułko-strzykawce;;
100377003;Trelema;Ludzki;0,5 mmol/ml;Roztwór do wstrzykiwań;;
100377010;Trelema;Ludzki;0,5 mmol/ml;Roztwór do wstrzykiwań;;
100397490;Mitoxantron Sandoz;Ludzki;0,5 mmol/ml;Roztwór do wstrzykiwań;;
100397572;Zaldiar;Ludzki;0,5 mmol/ml;Roztwór do wstrzykiwań;;
100419747;Orgametril;Ludzki;0,5 mmol/ml;Roztwór do wstrzykiwań;;
100419760;Procto-Glyvenol;Ludzki;0,5 mmol/ml;Roztwór do wstrzykiwań w ampułko-strzykawce;;
100465470;Xuvelex XR;Ludzki;0,5 mmol/ml;Roztwór do wstrzykiwań;;
100507418;Nolicin;Ludzki;0,5 mmol/ml;Roztwór do wstrzykiwań;;
100406041;Amikacin Kabi;Ludzki;0,5% (5 mg/ml);Roztwór do wstrzykiwań;;
100463003;Primacor;Ludzki;0,50 mg/ml(co odpowiada 0,6086 mg/ml halofuginonu mleczanu);Roztwór doustny;;
100139309;Advate;Ludzki;0,50%;Płyn na skórę;;
100152178;Januvia;Ludzki;0,50%;Płyn na skórę;;
100152480;Januvia;Ludzki;0,50%;Płyn do stosowania na skórę;;
100442901;Fingolimod Adamed;Ludzki;0,50%;Krople do oczu, zawiesina;;
100337423;Asbima;Ludzki;0,52 mg;Tabletki o przedłużonym uwalnianiu;;
100338760;Tardyferon;Ludzki;0,52 mg;Tabletki o przedłużonym uwalnianiu;;
100344096;Aripiprazole Zentiva;Ludzki;0,52 mg;Tabletki o przedłużonym uwalnianiu;;
100485360;Epysqli;Ludzki;0,56 mg;Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;;
100242496;Tanyz ERAS;Ludzki;0,584 mg/ml;Roztwór do natryskiwania na skórę;;
100438242;Teicoplanin Altan;Ludzki;0,584 mg/ml;Roztwór do natryskiwania na skórę;;
100504906;NuvaRing;Ludzki;0,584 mg/ml;Aerozol na skórę, roztwór;;
100516497;Concor Cor 5;Ludzki;0,584 mg/ml;Aerozol do uszu, roztwór;;
100308516;Adasuve;Ludzki;0,6 mg;Roztwór do wstrzykiwań;;
100083550;Vivacor;Ludzki;0,6 mg + 1,2 mg;Pastylki twarde;;
100393858;Atosiban Mercapharm;Ludzki;0,6 mg + 1,2 mg;Pastylki twarde;;
100393887;Clariscan;Ludzki;0,6 mg + 1,2 mg;Pastylki twarde;;
100506423;Lantus SoloStar;Ludzki;0,6 mg + 1,2 mg;Pastylki twarde;;
100506430;Bactroban;Ludzki;0,6 mg + 1,2 mg;Pastylki twarde;;
100506605;Ivacaftor STADA;Ludzki;0,6 mg + 1,2 mg;Pastylki twarde;;
100429639;Xanax;Ludzki;0,6 mg/ml;Zawiesina doustna;;
100083419;Theospirex retard;Ludzki;0,60%;Roztwór na skórę;;
100466630;Tulip 80 mg;Ludzki;0,6086 mg/ml;Roztwór doustny;;
100460030;Ondemet;Ludzki;0,636 g/obrożę 35 cm (15,90 g);Obroża lecznicza;;
100460106;Dabigatran etexilate G.L.;Ludzki;0,636 g/obrożę 35 cm (15,90 g);Obroża lecznicza;;
100439419;Mucosolvan;Ludzki;0,64 mg + 1 mg;Maść;;
100445992;Alpragen;Ludzki;0,64 mg + 30 mg;Maść;;
100019522;Diprosalic;Ludzki;0,64 mg/g;Maść;;
100412171;Biotylek;Ludzki;0,64 mg/g;Maść;;
100435901;Cavinton Forte;Ludzki;0,64 mg/g;Maść;;
100450174;Pemazyre;Ludzki;0,64 mg/g;Maść;;
100019516;Diprosalic;Ludzki;0,64 mg/g + 1 mg/g;Maść;;
100495560;Dorin;Ludzki;0,66 mg;Tabletka powlekana;;
100094759;Lipanthyl 267M;Ludzki;0,7 mg;Tabletki;;
100229580;Torsemed;Ludzki;0,7 mg;Tabletki;;
100338701;Oziclide MR;Ludzki;0,7 mg;Tabletki;;
100344050;Aripiprazole Zentiva;Ludzki;0,7 mg;Tabletki;;
100423039;Rivaxar;Ludzki;0,7 mg + 0,18 mg;Tabletki podjęzykowe;;
100368530;Akis;Ludzki;0,74 - 1,85 GBq;Generator radionuklidu;;
100438029;Mucoflav;Ludzki;0,74 mg/ml;Roztwór do płukania jamy ustnej i gardła;;
100209665;Singulair Mini;Ludzki;0,74 mg/ml (0,074%);Roztwór do płukania jamy ustnej i gardła;;
100110760;Folacid 0,4 mg;Ludzki;" 1 dawka (0,25 ml), dawka dla dzieci";Zawiesina do wstrzykiwań;;
100013175;Cavinton;Ludzki;0,75 mg;Tabletka i rozpuszczalnik do sporządzania kropli do oczu;;
100133057;Piramil 2,5 mg;Ludzki;0,75 mg;Tabletki;;
100356030;AirFluSal Forspiro;Ludzki;0,75 mg;Tabletki o przedłużonym uwalnianiu;;
100381252;Starazolin Free;Ludzki;0,75 mg;Tabletka;;
100413549;Zolpigen;Ludzki;0,75 mg;Tabletki;;
100425558;Norvasc;Ludzki;0,75 mg;Tabletki;;
100364710;Depratal;Ludzki;0,75 mg/0,5 ml;Roztwór do wstrzykiwań we wstrzykiwaczu;;
100429071;Anesderm;Ludzki;0,75 mg/dawkę;Żel przezskórny;;
100100891;Duphaston;Ludzki;0,75 mg/ml;Roztwór do infuzji;;
100383311;Rivaroxaban Aurovitas;Ludzki;0,75 mg/ml;Roztwór do wstrzykiwań;;
100393031;Febuxostat Laboratorios Liconsa;Ludzki;0,75 mg/ml;Roztwór do infuzji;;
100476072;Lanreotide Ranbaxy;Ludzki;0,75 mg/ml;Proszek do sporządzania roztworu doustnego;;
100447382;Kyleena;Ludzki;0,75% (7,5 mg/g);Krem;;
100341287;Rimal;Ludzki;0,760 g;Obroża;;
100435083;Palifren Long;Ludzki;0,8 g;Proszek do sporządzania zawiesiny doustnej;;
100477330;Comirnaty Original/Omicron BA.4-5;Ludzki;0,8 g/ml;Krople doustne, roztwór;;
100116604;Axura;Ludzki;0,8 mg/ml;Roztwór do wstrzykiwań;;
100423594;Trecondi;Ludzki;0,8 mg/ml;Syrop;;
100126755;Ovitrelle;Ludzki;0,9 mg;Proszek do sporządzania roztworu do wstrzykiwań;;
100308522;Adasuve;Ludzki;0,9 mg;Roztwór do wstrzykiwań;;
100286447;MENSIL MAX;Ludzki;0,9 mg/ml;Krople do oczu, roztwór;;
100503540;Esscitaxin;Ludzki;0,9 mg/ml;Krople do oczu, roztwór w pojemniku jednodawkowym;;
100503631;Vivaston;Ludzki;0,9 mg/ml;Krople do oczu, roztwór;;
100507243;FERVEX ból i gorączka INSTANT;Ludzki;0,9 mg/ml;Krople do oczu, roztwór w pojemniku jednodawkowym;;
100390191;Ramipril + Amlodipine + Hydrochlorothiazide Adamed;Ludzki;0,9 mg/ml + 18 mg/ml;Zawiesina doustna;;
100463718;Diclac 75 Duo;Ludzki;0,92 mg;Kapsułki twarde;;
100356478;Olamide;Ludzki;0,925 – 37 GBq/fiolkę;Prekursor radiofarmaceutyku, roztwór;;
100356828;Lokren 20;Ludzki;0,925 – 37 GBq/fiolkę;Prekursor radiofarmaceutyku, roztwór;;
100392936;Denofix;Ludzki;0.5 mg;Tabletki;;
100389762;Lamivudine + Zidovudine Accord;Ludzki;0.5 mg/ml;Zawiesina doustna;;
100488418;Recigar Active;Ludzki;0.85 mg/ml;Roztwór do wstrzykiwań;;
100340023;Simdax;Ludzki;01-300 GBq;Prekursor radiofarmaceutyczny, roztwór;;
100371791;Morphine Kalceks;Ludzki;1 000 000 IU;Tabletki powlekane;;
100015576;Concor 5;Ludzki;1 000 000 j.m.;Liofilizat do sporządzania roztworu do wstrzykiwań, infuzji i inhalacji;;
100050064;Otinum;Ludzki;1 000 000 j.m.;Tabletki powlekane;;
100510061;Xifaxan 400 mg;Ludzki;1 000 000 j.m.;Proszek do sporządzania roztworu do wstrzykiwań / do infuzji;;
100228898;Apo-Atorva;Ludzki;1 200 000 j.m.;Proszek do sporządzania zawiesiny do wstrzykiwań;;
100372750;Valsartan Medical Valley;Ludzki;1 500 000 IU;Tabletki powlekane;;
100050087;Ovestin;Ludzki;1 500 000 j.m.;Tabletki powlekane;;
100332704;Vargatef;Ludzki;1 662 500 j.m.;Proszek do inhalacji w kapsułkach twardych;;
100148159;Maść majerankowa GEMI;Ludzki;1 dawka (0,5 ml);Zawiesina do wstrzykiwań;;
100210987;Xolair;Ludzki;1 dawka (0,5 ml);Proszek i zawiesina do sporządzania zawiesiny do wstrzykiwań;;
100325851;Envarsus;Ludzki;1 dawka (0,5 ml);Zawiesina do wstrzykiwań w ampułko-strzykawce;;
100383759;Darunavir Viatris;Ludzki;1 dawka (0,5 ml);Zawiesina do wstrzykiwań w ampułko-strzykawce;;
100395403;Allospes;Ludzki;1 dawka (0,5 ml);Zawiesina do wstrzykiwań w ampułko-strzykawce;;
100399619;Xanax;Ludzki;1 dawka (0,5 ml);Zawiesina do wstrzykiwań w ampułko-strzykawce;;
100405857;Febuxostat MSN;Ludzki;1 dawka (0,5 ml);Zawiesina do wstrzykiwań w ampułko-strzykawce;;
100418370;Rozesta;Ludzki;1 dawka (0,5 ml);Zawiesina do wstrzykiwań;;
100422979;Dexafree;Ludzki;1 dawka (0,5 ml);Zawiesina do wstrzykiwań;;
100426003;Cytotec;Ludzki;1 dawka (0,5 ml);Zawiesina do wstrzykiwań w ampułko-strzykawce;;
100333796;Pantoprazol SUN;Ludzki;1 dawka 0,2 ml;Aerozol do nosa, zawiesina;;
100470450;Tetralysal;Ludzki;1 dawka 0,5 ml;Dyspersja do wstrzykiwań;;
100474432;Axaltra;Ludzki;1 dawka 0,5 ml;Zawiesina do wstrzykiwań w ampułko-strzykawce;;
100475115;NULIBRY;Ludzki;1 dawka 0,5 ml;Zawiesina do wstrzykiwań;;
100490735;Betaserc;Ludzki;1 dawka 0,5 ml;Dyspersja do wstrzykiwań;;
100506013;Prepidil;Ludzki;1 dawka 0,5 ml;Dyspersja do wstrzykiwań;;
100508024;Eliquis;Ludzki;1 dawka 0,5 ml;Dyspersja do wstrzykiwań;;
100508910;Monural;Ludzki;1 dawka 0,5 ml;Roztwór i emulsja do sporządzania emulsji do wstrzykiwań;;
100512170;Adrenalina Noridem;Ludzki;1 dawka 0,5 ml;Dyspersja do wstrzykiwań;;
100537956;Tobrex;Ludzki;1 dawka 0,5 ml;Dyspersja do wstrzykiwań;;
100511707;Concoram;Ludzki;1 dawka 1 ml (10 mcg/ml);Zawiesina do wstrzykiwań;;
100511714;Penbraya;Ludzki;1 dawka 1 ml (10 mcg/ml);Zawiesina do wstrzykiwań;;
100464012;Ibuprofen Aurovitas;Ludzki;1 dawka/0,5 ml;Zawiesina do wstrzykiwań;;
100005313;Amotaks;Ludzki;1 g;Tabletki;;
100005460;Ampicillin TZF;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań;;
100010656;Biotum;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań lub infuzji;;
100010662;Biotum;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań lub infuzji;;
100010797;Bisacodyl VP;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań lub infuzji;;
100013531;Cepan;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań i infuzji;;
100016802;Encorton;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań;;
100020910;Duracef;Ludzki;1 g;Tabletki do sporządzania zawiesiny doustnej;;
100024150;Ferrum-Lek;Ludzki;1 g;Proszek doustny;;
100029621;Humulin R;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań;;
100043213;Methotrexat-Ebewe;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań lub infuzji;;
100047116;Neurotop retard 300;Ludzki;1 g;Proszek do sporządzania roztworu do infuzji;;
100052548;Pernazinum;Ludzki;1 g;Czopki doodbytnicze;;
100064209;Succus Taraxaci Phytopharm;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań;;
100065723;Targocid;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań;;
100065746;Tarivid 200;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań;;
100079205;Ziele Bukwicy;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań i infuzji;;
100081060;Minirin 0,1;Ludzki;1 g;Tabletki do sporządzania zawiesiny doustnej;;
100089020;Vitaminum A 12000 + E 70 Hasco;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań i infuzji;;
100092878;Flavamed max;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań;;
100098562;Seractil;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań i infuzji;;
100099998;Concor Cor 5;Ludzki;1 g;Granulat o przedłużonym uwalnianiu;;
100107456;Ibuvit C;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań;;
100112227;Zafiron;Ludzki;1 g;Tabletki musujące;;
100113540;Normodipine;Ludzki;1 g;Proszek do przygotowania koncentratu do sporządzania roztworu do infuzji;;
100118626;Sylimarol 70 mg;Ludzki;1 g;Czopki;;
100119005;Phlebodia;Ludzki;1 g;Czopki doodbytnicze;;
100121947;Juvit D3;Ludzki;1 g;Tabletki;;
100123946;Allertec WZF;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań i infuzji;;
100125260;Milgamma 100;Ludzki;1 g;Proszek do sporządzania roztworu do infuzji dożylnych i do wstrzykiwań domięśniowych;;
100206017;Pramipexole Teva;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań;;
100221962;Adenuric;Ludzki;1 g;Czopki doodbytnicze;;
100249251;Yervoy;Ludzki;1 g;Proszek do sporządzania roztworu do infuzji;;
100281183;Topotecanum Accord;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań lub infuzji;;
100282596;Carboplatin Kabi;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań lub infuzji;;
100283101;Sidretella 20;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań lub infuzji;;
100293631;Gastrografin;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań lub infuzji;;
100309786;Fycompa;Ludzki;1 g;Tabletki o przedłużonym uwalnianiu;;
100311754;Memantine Merz;Ludzki;1 g;Czopki doodbytnicze;;
100315829;Tandemact;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań / do infuzji;;
100335298;Cyramza;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań lub infuzji;;
100341293;Rimal;Ludzki;1 g;Obroża;;
100364680;Sudafed Spray HA Comfort Kids;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań i infuzji;;
100369653;Ibenal;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań lub infuzji;;
100376185;Prospan;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań / do infuzji;;
100395679;Zulbex;Ludzki;1 g;Proszek do sporządzania koncentratu roztworu do infuzji;;
100399648;Zinnat;Ludzki;1 g;Proszek do sporządzania koncentratu roztworu do infuzji;;
100405219;Dexmedetomidine Kalceks;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań;;
100405739;Ketokaps Max;Ludzki;1 g;Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań i infuzji;;
100416921;Besremi;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań / do infuzji;;
100429480;Fenistil;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań / do infuzji;;
100433339;Clopidogrel/Acetylsalicylic acid Viatris;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań lub infuzji;;
100435172;Sorafenib STADA;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań / do infuzji;;
100446922;Enhertu;Ludzki;1 g;Proszek do sporządzania roztworu do infuzji;;
100449429;Binatta;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań / do infuzji;;
100449599;Pirfenidon Stada;Ludzki;1 g;Proszek do sporządzania koncentratu roztworu do wstrzykiwań lub infuzji;;
100451340;ApoZolpin;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań / do infuzji;;
100453481;Esomeprazol Towa;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań / do infuzji;;
100460720;Dabigatran etexilate Polpharma;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań / do infuzji;;
100463140;Ramoclav;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań / do infuzji;;
100466980;IMMUVI Forte;Ludzki;1 g;Proszek do sporządzania koncentratu roztworu do infuzji;;
100478818;Vabinxo;Ludzki;1 g;Proszek do sporządzania koncentratu roztworu do infuzji;;
100485010;Delianda;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań / do infuzji;;
100485248;Hyftor;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań / do infuzji;;
100486348;Zyfoqam;Ludzki;1 g;Tabletki musujące;;
100488243;Fludrocortisone acetate RIA;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań / do infuzji;;
100500948;Triderm;Ludzki;1 g;Proszek doustny;;
100502777;Rybelsus;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań / do infuzji;;
100502973;Selexipag Accord;Ludzki;1 g;Proszek do sporządzania koncentratu roztworu do infuzji;;
100503123;Dabigatran SaneXcel;Ludzki;1 g;Tabletki musujące;;
100520786;Qoyvolma;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań / do infuzji;;
100520982;Elicea;Ludzki;1 g;Proszek do sporządzania roztworu do wstrzykiwań / do infuzji;;
100522922;Itovebi;Ludzki;1 g;Tabletki musujące;;
100523259;Octeangin;Ludzki;1 g;Granulat o przedłużonym uwalnianiu, w saszetce;;
100533829;Cyclo 3 Fort;Ludzki;1 g;Proszek do sporządzania roztworu do infuzji i roztworu doustnego;;
100537190;Gynoxin Uno;Ludzki;1 g;Tabletki musujące;;
100385480;Hydroxyzinum Polfarmex;Ludzki;1 g + 0,5 g;Proszek do sporządzania koncentratu roztworu do infuzji;;
100460881;Dusalm;Ludzki;1 g + 0,5 g;Proszek do sporządzania roztworu do wstrzykiwań / do infuzji;;
100497465;Wellbutrin XR;Ludzki;1 g + 0,5 g;Proszek do sporządzania roztworu do wstrzykiwań / do infuzji;;
100353758;Paroxetine Aurovitas;Ludzki;1 g + 1 g;Proszek do sporządzania roztworu do wstrzykiwań i infuzji;;
100439052;Piqray;Ludzki;1 g + 1 g;Proszek do sporządzania koncentratu roztworu do infuzji;;
100069164;Unguentum undecylenicum;Ludzki;1 g + 500 mg;Proszek do sporządzania roztworu do wstrzykiwań i infuzji;;
100420348;SITAGLIPTIN BIOTON;Ludzki;1 g/ saszetkę;Proszek doustny;;
100311493;Corbilta;Ludzki;1 g/1 g;Zioła do zaparzania;;
100420549;Lenalidomide Pharmascience;Ludzki;1 g/1 g;Zioła do zaparzania;;
100387645;Votubia;Ludzki;1 g/1,1 g;Granulat do podania w wodzie do picia / w mleku;;
100366376;Ramladio;Ludzki;1 g/10 ml;Roztwór do infuzji;;
100104481;Noverban;Ludzki;1 g/100 g;Krem;;
100096132;Loxon Max;Ludzki;1 g/100 ml;Zawiesina doodbytnicza;;
100420704;AuroDulox;Ludzki;1 g/5 g;Proszek doustny;;
100112894;Jodi Gel 10%;Ludzki;1 g/5 ml;Proszek do sporządzania zawiesiny doustnej;;
100117638;Liść Borówki brusznicy;Ludzki;1 g/g;Zioła do zaparzania;;
100117696;Korzeń Arcydzięgla;Ludzki;1 g/g;Zioła do zaparzania;;
100118460;Cirrus Duo;Ludzki;1 g/g;Zioła do zaparzania;;
100118589;Nutrineal PD4 (z 1,1% roztworem aminokwasów);Ludzki;1 g/g;Zioła do zaparzania;;
100142790;Kłącze Pięciornika;Ludzki;1 g/g;Zioła do zaparzania;;
100177570;Ketilept 25 mg;Ludzki;1 g/g;Zioła do zaparzania;;
100009156;Bellapan;Ludzki;1 g/ml;Zawiesina doustna i doodbytnicza;;
100115757;Korzeń Prawoślazu;Ludzki;1 g/saszetkę;Zioła do zaparzania w saszetkach;;
100497647;Relpax;Ludzki;1 g/system;System terapeutyczny dopochwowy;;
100436770;Veriflo;Ludzki;1 GBq/1ml na dzień i godzinę odniesienia;Roztwór do wstrzykiwań;;
100399832;Dipperam HCT;Ludzki;1 GBq/ml;Roztwór do wstrzykiwań;;
100417079;Axumin;Ludzki;1 GBq/mL;Roztwór do wstrzykiwań;;
100417286;Atazanavir Krka;Ludzki;1 GBq/ml na dzień i godzinę odniesienia;Roztwór do wstrzykiwań;;
100004176;Alfadiol;Ludzki;1 mcg;Kapsułki miękkie;;
100012715;Capsigel N;Ludzki;1 mg;Proszek do sporządzania roztworu do infuzji;;
100013034;Cardura;Ludzki;1 mg;Tabletki;;
100014861;Clexane;Ludzki;1 mg;Tabletki;;
100014967;Clonazepamum TZF;Ludzki;1 mg;Tabletki;;
100018391;Dexapolcort;Ludzki;1 mg;Tabletki;;
100022151;Endoxan;Ludzki;1 mg;Tabletki;;
100022671;Esceven;Ludzki;1 mg;Tabletki drażowane;;
100028372;Heminevrin;Ludzki;1 mg;Tabletki;;
100033539;Kliogest;Ludzki;1 mg;Tabletki;;
100039772;Lorinden N;Ludzki;1 mg;Tabletki drażowane;;
100042774;Mercilon;Ludzki;1 mg;Kapsułki o przedłużonym uwalnianiu, twarde;;
100048050;Nootropil;Ludzki;1 mg;Tabletki;;
100058462;Rivanol 0,1%;Ludzki;1 mg;Tabletki powlekane;;
100060826;Seronil;Ludzki;1 mg;Pastylki twarde;;
