Identyfikator Produktu Leczniczego;Nazwa Produktu Leczniczego;Rodzaj preparatu;Moc;Postać farmaceutyczna;;
100175274;Risperidon Vipharm;Ludzki;;;;
100175392;Apo-Tamis;Ludzki;;;;
100175400;Clobex;Ludzki;;;;
100175475;Klabax;Ludzki;;;;
100175535;Hydroxyzinum Espefa;Ludzki;;;;
100175587;Infectoscab 5% krem;Ludzki;;;;
100175593;Bramitob;Ludzki;;;;
100175647;OC-35;Ludzki;;;;
100175883;Mannitol 20% Fresenius;Ludzki;;;;
100175950;Sertagen;Ludzki;;;;
100175966;Medikinet 5 mg;Ludzki;;;;
100175972;Medikinet 10 mg;Ludzki;;;;
100176003;Sertagen;Ludzki;;;;
100176032;Remodulin;Ludzki;;;;
100176049;Remodulin;Ludzki;;;;
100176090;Arketis tabletki 20 mg;Ludzki;;;;
100176210;Alventa;Ludzki;;;;
100176233;Alventa;Ludzki;;;;
100176240;Espiro;Ludzki;;;;
100176256;Ramve 5 mg;Ludzki;;;;
100176262;Medikinet CR 20 mg;Ludzki;;;;
100176279;Ramve 10 mg;Ludzki;;;;
100176285;Ranlosin;Ludzki;;;;
100176300;Medikinet CR 30 mg;Ludzki;;;;
100176322;Medikinet CR 40 mg;Ludzki;;;;
100176345;Prolastin;Ludzki;;;;
100176405;Hypoten;Ludzki;;;;
100176428;Hypoten;Ludzki;;;;
100176434;Hypoten;Ludzki;;;;
100176440;Erazaban 10% krem;Ludzki;;;;
100176530;Apo-Fina;Ludzki;;;;
100176546;Karbagen;Ludzki;;;;
100176552;Amlopin 5 mg;Ludzki;;;;
100176569;Karbagen;Ludzki;;;;
100176581;Karbagen;Ludzki;;;;
100176598;Etopro;Ludzki;;;;
100176606;Etopro;Ludzki;;;;
100176629;Etopro;Ludzki;;;;
100176641;Etopro;Ludzki;;;;
100176724;Dafiro;Ludzki;;;;
100176747;Dafiro;Ludzki;;;;
100176753;Dafiro;Ludzki;;;;
100176776;Copalia;Ludzki;;;;
100176888;Ig Vena;Ludzki;;;;
100176954;Omnitrope;Ludzki;;;;
100176977;Finxta;Ludzki;;;;
100177014;Mircera;Ludzki;;;;
100177020;Mircera;Ludzki;;;;
100177089;Viru-Pos;Ludzki;;;;
100177095;Metformax 1000;Ludzki;;;;
100177110;Trachisan 8 mg;Ludzki;;;;
100177132;Torvalipin;Ludzki;;;;
100177215;Elestar HCT;Ludzki;;;;
100177221;Ciprofloxacin Kabi 400 mg/200 ml roztwór do infuzji;Ludzki;;;;
100177250;Atriance;Ludzki;;;;
100177273;Alneta;Ludzki;;;;
100177280;Fluorescite 100 mg/ml roztwór do wstrzykiwań;Ludzki;;;;
100177310;Fostex;Ludzki;;;;
100177356;Propofol-Lipuro 2% (20 mg/ml) emulsja do wstrzykiwań lub infuzji;Ludzki;;;;
100177379;Fenta MX 25;Ludzki;;;;
100177385;Fenta MX 50;Ludzki;;;;
100177391;IPP;Ludzki;;;;
100177400;Fenta MX 75;Ludzki;;;;
100177422;Fenta MX 100;Ludzki;;;;
100177445;Noliprel Forte;Ludzki;;;;
100177497;Ondansetron Kabi 2 mg/ml roztwór do wstrzykiwań;Ludzki;;;;
100177557;Androster;Ludzki;;;;
100177586;Ketilept 200 mg;Ludzki;;;;
100177592;Ketilept 300 mg;Ludzki;;;;
100177617;Tertensif Kombi;Ludzki;;;;
100177646;Velaxin ER 37,5 mg;Ludzki;;;;
100177681;Multimel N7-1000E;Ludzki;;;;
100177712;Velaxin ER 75 mg;Ludzki;;;;
100177741;Glucophage XR;Ludzki;;;;
100177882;BeneFix;Ludzki;;;;
100177899;BeneFix;Ludzki;;;;
100177907;BeneFix;Ludzki;;;;
100177913;BeneFix;Ludzki;;;;
100178090;Cardiopirin;Ludzki;;;;
100178189;Ketipinor;Ludzki;;;;
100178195;Ketipinor;Ludzki;;;;
100178249;Krople walerianowe;Ludzki;;;;
100178290;Olicard 40 retard;Ludzki;;;;
100178321;Olicard 60 retard;Ludzki;;;;
100178580;Krople miętowe;Ludzki;;;;
100178657;Rasilez;Ludzki;;;;
100178692;Escipram;Ludzki;;;;
