name
Alergolog
Anestezjolog
Androlog
Angiolog
Chirurg dziecięcy
Chirurg naczyniowy
Chirurg ogólny
Chirurg onkologiczny
Chirurg plastyczny
Chirurg szczękowo-twarzowy
Dermatolog
Diabetolog
Endokrynolog
Epidemiolog
Farmakolog kliniczny
Gastroenterolog
Genetyk kliniczny
Geriatra
Ginekolog
Hematolog
Hepatolog
Immunolog kliniczny
Internista
Kardiochirurg
Kardiolog
Laryngolog
Lekarz medycyny pracy
Lekarz medycyny ratunkowej
Lekarz medycyny rodzinnej
Lekarz rehabilitacji medycznej
Nefrolog
Neonatolog
Neurochirurg
Neurolog
Neurolog dziecięcy
Okulista
Onkolog kliniczny
Ortopeda
Patomorfolog
Pediatra
Proktolog
Psychiatra
Psychiatra dziecięcy
Pulmonolog
Radiolog
Reumatolog
Toksykolog
Transplantolog
Urolog
